especificacion,esquema,institucion,bloque,tipo,stat_type,stat,df,p
binaria,importada,Iglesia,frontera Millennial/Z (1996/1997),frontera,chi2,    0.154,  1,   0.6943
binaria,balcells,Iglesia,frontera plebiscito 1988 (1970/1971),frontera,chi2,    0.212,  1,   0.6455
binaria,balcells,Iglesia,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    1.846,  1,   0.1742
zscore,teorica,Gobierno,1 (<=1949),dentro-bloque,chi2,   13.038,  1,   0.0003
zscore,teorica,Gobierno,2 (1950-1964),dentro-bloque,chi2,   23.210,  2,   0.0000
zscore,teorica,Gobierno,3 (1965-1979),dentro-bloque,chi2,    4.959,  2,   0.0838
zscore,teorica,Gobierno,4 (1980-1994),dentro-bloque,chi2,    7.597,  2,   0.0224
zscore,teorica,Gobierno,5 (1995+),dentro-bloque,chi2,    8.676,  2,   0.0131
zscore,teorica,Gobierno,frontera 1-2 (1949/1950),frontera,chi2,    0.896,  1,   0.3440
zscore,teorica,Gobierno,frontera 2-3 (1964/1965),frontera,chi2,    0.879,  1,   0.3486
zscore,teorica,Gobierno,frontera 3-4 (1979/1980),frontera,chi2,    1.852,  1,   0.1736
zscore,teorica,Gobierno,frontera 4-5 (1994/1995),frontera,chi2,   17.404,  1,   0.0000
zscore,importada,Gobierno,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    4.734,  1,   0.0296
zscore,importada,Gobierno,frontera Boomer/X (1964/1965),frontera,chi2,    0.833,  1,   0.3613
zscore,importada,Gobierno,frontera X/Millennial (1980/1981),frontera,chi2,    1.888,  1,   0.1694
zscore,importada,Gobierno,frontera Millennial/Z (1996/1997),frontera,chi2,    0.892,  1,   0.3449
zscore,balcells,Gobierno,frontera plebiscito 1988 (1970/1971),frontera,chi2,    2.105,  1,   0.1468
zscore,balcells,Gobierno,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    0.945,  1,   0.3309
zscore,teorica,Parlamento,1 (<=1949),dentro-bloque,chi2,   16.326,  1,   0.0001
zscore,teorica,Parlamento,2 (1950-1964),dentro-bloque,chi2,   22.643,  2,   0.0000
zscore,teorica,Parlamento,3 (1965-1979),dentro-bloque,chi2,    6.582,  2,   0.0372
zscore,teorica,Parlamento,4 (1980-1994),dentro-bloque,chi2,    3.431,  2,   0.1798
zscore,teorica,Parlamento,5 (1995+),dentro-bloque,chi2,   24.555,  2,   0.0000
zscore,teorica,Parlamento,frontera 1-2 (1949/1950),frontera,chi2,    1.473,  1,   0.2249
zscore,teorica,Parlamento,frontera 2-3 (1964/1965),frontera,chi2,    0.036,  1,   0.8488
zscore,teorica,Parlamento,frontera 3-4 (1979/1980),frontera,chi2,    2.145,  1,   0.1431
zscore,teorica,Parlamento,frontera 4-5 (1994/1995),frontera,chi2,    8.611,  1,   0.0033
zscore,importada,Parlamento,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    0.307,  1,   0.5793
zscore,importada,Parlamento,frontera Boomer/X (1964/1965),frontera,chi2,    0.055,  1,   0.8146
zscore,importada,Parlamento,frontera X/Millennial (1980/1981),frontera,chi2,    0.102,  1,   0.7497
zscore,importada,Parlamento,frontera Millennial/Z (1996/1997),frontera,chi2,    3.843,  1,   0.0500
zscore,balcells,Parlamento,frontera plebiscito 1988 (1970/1971),frontera,chi2,    8.960,  1,   0.0028
zscore,balcells,Parlamento,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    1.734,  1,   0.1879
zscore,teorica,Partidos,1 (<=1949),dentro-bloque,chi2,    4.962,  1,   0.0259
zscore,teorica,Partidos,2 (1950-1964),dentro-bloque,chi2,    6.010,  2,   0.0495
zscore,teorica,Partidos,3 (1965-1979),dentro-bloque,chi2,   15.485,  2,   0.0004
zscore,teorica,Partidos,4 (1980-1994),dentro-bloque,chi2,    0.677,  2,   0.7127
zscore,teorica,Partidos,5 (1995+),dentro-bloque,chi2,   13.836,  2,   0.0010
zscore,teorica,Partidos,frontera 1-2 (1949/1950),frontera,chi2,    3.895,  1,   0.0484
zscore,teorica,Partidos,frontera 2-3 (1964/1965),frontera,chi2,    0.000,  1,   0.9931
zscore,teorica,Partidos,frontera 3-4 (1979/1980),frontera,chi2,    1.092,  1,   0.2960
zscore,teorica,Partidos,frontera 4-5 (1994/1995),frontera,chi2,   18.646,  1,   0.0000
zscore,importada,Partidos,frontera Silenciosa/Boomer (1945/1946),frontera,chi2,    1.385,  1,   0.2393
zscore,importada,Partidos,frontera Boomer/X (1964/1965),frontera,chi2,    0.001,  1,   0.9692
zscore,importada,Partidos,frontera X/Millennial (1980/1981),frontera,chi2,    0.002,  1,   0.9637
zscore,importada,Partidos,frontera Millennial/Z (1996/1997),frontera,chi2,    6.254,  1,   0.0124
zscore,balcells,Partidos,frontera plebiscito 1988 (1970/1971),frontera,chi2,    2.444,  1,   0.1180
zscore,balcells,Partidos,frontera retorno democracia 1990 (1972/1973),frontera,chi2,    0.467,  1,   0.4943
zscore,teorica,FF.AA.,1 (<=1949),dentro-bloque,chi2,    3.966,  1,   0.0464
zscore,teorica,FF.AA.,2 (1950-1964),dentro-bloque,chi2,    8.066,  2,   0.0177
zscore,teorica,FF.AA.,3 (1965-1979),dentro-bloque,chi2,    5.069,  2,   0.0793
zscore,teorica,FF.AA.,4 (1980-1994),dentro-bloque,chi2,    1.451,  2,   0.4841
zscore,teorica,FF.AA.,5 (1995+),dentro-bloque,chi2,    1.316,  2,   0.5178
