especificacion,institucion,bloque,tipo,stat_type,stat,df,df_r,p
zscore,FF.AA.,frontera 4-5 (1994/1995),frontera,chi2,        .,  1,     .,   0.0002
zscore,Iglesia,1 (<=1949),dentro-bloque,chi2,        .,  1,     .,   0.3013
zscore,Iglesia,2 (1950-1964),dentro-bloque,chi2,        .,  2,     .,   0.7487
zscore,Iglesia,3 (1965-1979),dentro-bloque,chi2,        .,  2,     .,   0.1673
zscore,Iglesia,4 (1980-1994),dentro-bloque,chi2,        .,  2,     .,   0.3909
zscore,Iglesia,5 (1995+),dentro-bloque,chi2,        .,  2,     .,   0.1059
zscore,Iglesia,frontera 1-2 (1949/1950),frontera,chi2,        .,  1,     .,   0.4336
zscore,Iglesia,frontera 2-3 (1964/1965),frontera,chi2,        .,  1,     .,   0.8575
zscore,Iglesia,frontera 3-4 (1979/1980),frontera,chi2,        .,  1,     .,   0.6528
zscore,Iglesia,frontera 4-5 (1994/1995),frontera,chi2,        .,  1,     .,   0.1771
ordinal,Gobierno,1 (<=1949),dentro-bloque,chi2,    5.525,  1,     .,   0.0187
ordinal,Gobierno,2 (1950-1964),dentro-bloque,chi2,    7.351,  2,     .,   0.0253
ordinal,Gobierno,3 (1965-1979),dentro-bloque,chi2,    2.859,  2,     .,   0.2395
ordinal,Gobierno,4 (1980-1994),dentro-bloque,chi2,    7.083,  2,     .,   0.0290
ordinal,Gobierno,5 (1995+),dentro-bloque,chi2,   11.540,  2,     .,   0.0031
ordinal,Gobierno,frontera 1-2 (1949/1950),frontera,chi2,    0.182,  1,     .,   0.6698
ordinal,Gobierno,frontera 2-3 (1964/1965),frontera,chi2,    1.760,  1,     .,   0.1847
ordinal,Gobierno,frontera 3-4 (1979/1980),frontera,chi2,    1.154,  1,     .,   0.2826
ordinal,Gobierno,frontera 4-5 (1994/1995),frontera,chi2,   14.645,  1,     .,   0.0001
ordinal,Parlamento,1 (<=1949),dentro-bloque,chi2,    3.304,  1,     .,   0.0691
ordinal,Parlamento,2 (1950-1964),dentro-bloque,chi2,   11.592,  2,     .,   0.0030
